Class,Precision,Recall,F1-score,Support,source_file
0,0.12,0.7,0.2,99,mlp_report_result_energy.json
1,0.12,0.2,0.15,104,mlp_report_result_energy.json
2,0.0,0.0,0.0,112,mlp_report_result_energy.json
3,0.11,0.02,0.04,86,mlp_report_result_energy.json
4,0.17,0.01,0.02,88,mlp_report_result_energy.json
5,0.08,0.08,0.08,98,mlp_report_result_energy.json
6,0.37,0.07,0.12,101,mlp_report_result_energy.json
7,0.0,0.0,0.0,94,mlp_report_result_energy.json
8,0.0,0.0,0.0,99,mlp_report_result_energy.json
9,0.18,1.0,0.3,105,mlp_report_result_energy.json
10,0.13,0.02,0.03,121,mlp_report_result_energy.json
11,0.0,0.0,0.0,99,mlp_report_result_energy.json
12,0.17,0.02,0.04,94,mlp_report_result_energy.json
13,0.3,0.11,0.16,97,mlp_report_result_energy.json
14,0.0,0.0,0.0,102,mlp_report_result_energy.json
15,0.1,0.14,0.12,91,mlp_report_result_energy.json
16,0.0,0.0,0.0,110,mlp_report_result_energy.json
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_energy.json
0,0.75,0.95,0.84,99,mlp_report_result_original_data.json
1,0.22,0.19,0.2,104,mlp_report_result_original_data.json
2,0.35,0.38,0.37,112,mlp_report_result_original_data.json
3,0.53,0.98,0.68,86,mlp_report_result_original_data.json
4,0.28,0.31,0.29,88,mlp_report_result_original_data.json
5,0.31,0.53,0.39,98,mlp_report_result_original_data.json
6,0.87,0.96,0.92,101,mlp_report_result_original_data.json
7,0.39,0.41,0.4,94,mlp_report_result_original_data.json
8,0.51,0.18,0.27,99,mlp_report_result_original_data.json
9,0.95,1.0,0.97,105,mlp_report_result_original_data.json
10,0.93,0.91,0.92,121,mlp_report_result_original_data.json
11,0.4,0.19,0.26,99,mlp_report_result_original_data.json
12,0.29,0.3,0.3,94,mlp_report_result_original_data.json
13,0.92,0.99,0.96,97,mlp_report_result_original_data.json
14,0.23,0.11,0.15,102,mlp_report_result_original_data.json
15,0.16,0.03,0.05,91,mlp_report_result_original_data.json
16,0.6,0.8,0.69,110,mlp_report_result_original_data.json
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_original_data.json
0,0.0,0.0,0.0,99,mlp_report_result_pca.json
1,0.14,0.23,0.17,104,mlp_report_result_pca.json
2,0.16,0.11,0.13,112,mlp_report_result_pca.json
3,0.08,0.09,0.08,86,mlp_report_result_pca.json
4,0.11,0.12,0.12,88,mlp_report_result_pca.json
5,0.14,0.07,0.09,98,mlp_report_result_pca.json
6,0.14,0.14,0.14,101,mlp_report_result_pca.json
7,0.04,0.06,0.05,94,mlp_report_result_pca.json
8,0.17,0.13,0.15,99,mlp_report_result_pca.json
9,0.0,0.0,0.0,105,mlp_report_result_pca.json
10,0.22,0.51,0.31,121,mlp_report_result_pca.json
11,0.15,0.19,0.17,99,mlp_report_result_pca.json
12,0.15,0.22,0.18,94,mlp_report_result_pca.json
13,0.38,0.29,0.33,97,mlp_report_result_pca.json
14,0.12,0.07,0.09,102,mlp_report_result_pca.json
15,0.16,0.3,0.2,91,mlp_report_result_pca.json
16,0.07,0.01,0.02,110,mlp_report_result_pca.json
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_pca.json
0,0.49,0.94,0.64,99,mlp_report_result_random_mesurements.json
1,0.15,0.08,0.1,104,mlp_report_result_random_mesurements.json
2,0.36,0.39,0.38,112,mlp_report_result_random_mesurements.json
3,0.19,0.35,0.25,86,mlp_report_result_random_mesurements.json
4,0.2,0.02,0.04,88,mlp_report_result_random_mesurements.json
5,0.19,0.06,0.09,98,mlp_report_result_random_mesurements.json
6,0.84,0.96,0.89,101,mlp_report_result_random_mesurements.json
7,0.34,0.57,0.43,94,mlp_report_result_random_mesurements.json
8,0.33,0.02,0.04,99,mlp_report_result_random_mesurements.json
9,0.92,1.0,0.96,105,mlp_report_result_random_mesurements.json
10,0.89,0.84,0.86,121,mlp_report_result_random_mesurements.json
