Class,Precision,Recall,F1-score,Support,source_file
0,0.44,0.39,0.41,99,svc_rbf_report_result_optical_pure_alpha.json
1,0.23,0.1,0.14,104,svc_rbf_report_result_optical_pure_alpha.json
2,0.41,0.16,0.23,112,svc_rbf_report_result_optical_pure_alpha.json
3,0.26,0.15,0.19,86,svc_rbf_report_result_optical_pure_alpha.json
4,0.25,0.15,0.19,88,svc_rbf_report_result_optical_pure_alpha.json
5,0.34,0.14,0.2,98,svc_rbf_report_result_optical_pure_alpha.json
6,0.81,0.39,0.52,101,svc_rbf_report_result_optical_pure_alpha.json
7,0.12,0.07,0.09,94,svc_rbf_report_result_optical_pure_alpha.json
8,0.31,0.18,0.23,99,svc_rbf_report_result_optical_pure_alpha.json
9,0.98,1.0,0.99,105,svc_rbf_report_result_optical_pure_alpha.json
10,0.13,0.86,0.22,121,svc_rbf_report_result_optical_pure_alpha.json
11,0.21,0.1,0.14,99,svc_rbf_report_result_optical_pure_alpha.json
12,0.29,0.19,0.23,94,svc_rbf_report_result_optical_pure_alpha.json
13,0.79,0.31,0.44,97,svc_rbf_report_result_optical_pure_alpha.json
14,0.2,0.08,0.11,102,svc_rbf_report_result_optical_pure_alpha.json
15,0.24,0.1,0.14,91,svc_rbf_report_result_optical_pure_alpha.json
16,0.27,0.15,0.2,110,svc_rbf_report_result_optical_pure_alpha.json
accuracy,1700.0,0.0,0.0,1700,svc_rbf_report_result_optical_pure_alpha.json
0,0.5,0.13,0.21,99,svc_rbf_report_result_optical_energy.json
1,0.07,0.01,0.02,104,svc_rbf_report_result_optical_energy.json
2,0.32,0.06,0.1,112,svc_rbf_report_result_optical_energy.json
3,0.06,0.87,0.11,86,svc_rbf_report_result_optical_energy.json
4,0.23,0.03,0.06,88,svc_rbf_report_result_optical_energy.json
5,0.06,0.01,0.02,98,svc_rbf_report_result_optical_energy.json
6,0.56,0.22,0.31,101,svc_rbf_report_result_optical_energy.json
7,0.23,0.05,0.09,94,svc_rbf_report_result_optical_energy.json
8,0.32,0.06,0.1,99,svc_rbf_report_result_optical_energy.json
9,0.98,1.0,0.99,105,svc_rbf_report_result_optical_energy.json
10,0.58,0.06,0.11,121,svc_rbf_report_result_optical_energy.json
11,0.19,0.03,0.05,99,svc_rbf_report_result_optical_energy.json
12,0.26,0.05,0.09,94,svc_rbf_report_result_optical_energy.json
13,0.62,0.22,0.32,97,svc_rbf_report_result_optical_energy.json
14,0.11,0.02,0.03,102,svc_rbf_report_result_optical_energy.json
15,0.26,0.08,0.12,91,svc_rbf_report_result_optical_energy.json
16,0.33,0.09,0.14,110,svc_rbf_report_result_optical_energy.json
accuracy,1700.0,0.0,0.0,1700,svc_rbf_report_result_optical_energy.json
0,0.18,0.61,0.28,99,svc_rbf_report_result_optical_pca.json
1,0.07,0.02,0.03,104,svc_rbf_report_result_optical_pca.json
2,0.5,0.01,0.02,112,svc_rbf_report_result_optical_pca.json
3,0.14,0.08,0.1,86,svc_rbf_report_result_optical_pca.json
4,0.09,0.05,0.06,88,svc_rbf_report_result_optical_pca.json
5,0.25,0.11,0.15,98,svc_rbf_report_result_optical_pca.json
6,0.25,0.14,0.18,101,svc_rbf_report_result_optical_pca.json
7,0.09,0.03,0.05,94,svc_rbf_report_result_optical_pca.json
8,0.0,0.0,0.0,99,svc_rbf_report_result_optical_pca.json
9,0.0,0.0,0.0,105,svc_rbf_report_result_optical_pca.json
10,0.19,0.67,0.3,121,svc_rbf_report_result_optical_pca.json
11,0.1,0.16,0.13,99,svc_rbf_report_result_optical_pca.json
12,0.14,0.03,0.05,94,svc_rbf_report_result_optical_pca.json
13,0.44,0.28,0.34,97,svc_rbf_report_result_optical_pca.json
14,0.1,0.06,0.07,102,svc_rbf_report_result_optical_pca.json
15,0.17,0.64,0.27,91,svc_rbf_report_result_optical_pca.json
16,0.18,0.06,0.09,110,svc_rbf_report_result_optical_pca.json
accuracy,1700.0,0.0,0.0,1700,svc_rbf_report_result_optical_pca.json
0,0.82,0.99,0.9,99,svc_rbf_report_result_optical_original_data.json
1,0.53,0.52,0.52,104,svc_rbf_report_result_optical_original_data.json
2,0.56,0.59,0.58,112,svc_rbf_report_result_optical_original_data.json
3,0.89,0.97,0.93,86,svc_rbf_report_result_optical_original_data.json
4,0.56,0.56,0.56,88,svc_rbf_report_result_optical_original_data.json
5,0.86,0.7,0.78,98,svc_rbf_report_result_optical_original_data.json
6,0.95,0.98,0.97,101,svc_rbf_report_result_optical_original_data.json
7,0.88,0.68,0.77,94,svc_rbf_report_result_optical_original_data.json
8,0.94,0.77,0.84,99,svc_rbf_report_result_optical_original_data.json
9,0.95,1.0,0.97,105,svc_rbf_report_result_optical_original_data.json
10,0.93,0.96,0.94,121,svc_rbf_report_result_optical_original_data.json
11,0.47,0.52,0.49,99,svc_rbf_report_result_optical_original_data.json
12,0.9,0.6,0.72,94,svc_rbf_report_result_optical_original_data.json
13,0.9,1.0,0.95,97,svc_rbf_report_result_optical_original_data.json
14,0.43,0.47,0.45,102,svc_rbf_report_result_optical_original_data.json
15,0.81,0.55,0.65,91,svc_rbf_report_result_optical_original_data.json
16,0.69,0.98,0.81,110,svc_rbf_report_result_optical_original_data.json
accuracy,1700.0,0.0,0.0,1700,svc_rbf_report_result_optical_original_data.json
0,0.78,0.98,0.87,99,svc_rbf_report_result_optical_random_mesurements.json
1,0.4,0.43,0.41,104,svc_rbf_report_result_optical_random_mesurements.json
2,0.51,0.56,0.53,112,svc_rbf_report_result_optical_random_mesurements.json
3,0.84,0.98,0.9,86,svc_rbf_report_result_optical_random_mesurements.json
4,0.49,0.51,0.5,88,svc_rbf_report_result_optical_random_mesurements.json
5,0.87,0.59,0.7,98,svc_rbf_report_result_optical_random_mesurements.json
6,0.93,0.98,0.96,101,svc_rbf_report_result_optical_random_mesurements.json
7,0.74,0.6,0.66,94,svc_rbf_report_result_optical_random_mesurements.json
8,0.9,0.64,0.75,99,svc_rbf_report_result_optical_random_mesurements.json
9,0.93,1.0,0.96,105,svc_rbf_report_result_optical_random_mesurements.json
10,0.88,0.94,0.91,121,svc_rbf_report_result_optical_random_mesurements.json
11,0.42,0.37,0.4,99,svc_rbf_report_result_optical_random_mesurements.json
12,0.94,0.49,0.64,94,svc_rbf_report_result_optical_random_mesurements.json
13,0.86,1.0,0.92,97,svc_rbf_report_result_optical_random_mesurements.json
14,0.35,0.39,0.37,102,svc_rbf_report_result_optical_random_mesurements.json
15,0.83,0.47,0.6,91,svc_rbf_report_result_optical_random_mesurements.json
16,0.64,0.97,0.77,110,svc_rbf_report_result_optical_random_mesurements.json
accuracy,1700.0,0.0,0.0,1700,svc_rbf_report_result_optical_random_mesurements.json
0,0.43,0.39,0.41,99,svc_rbf_report_result_optical_topk.json
1,0.23,0.1,0.14,104,svc_rbf_report_result_optical_topk.json
2,0.4,0.15,0.22,112,svc_rbf_report_result_optical_topk.json
3,0.25,0.14,0.18,86,svc_rbf_report_result_optical_topk.json
4,0.3,0.16,0.21,88,svc_rbf_report_result_optical_topk.json
5,0.33,0.13,0.19,98,svc_rbf_report_result_optical_topk.json
6,0.78,0.39,0.52,101,svc_rbf_report_result_optical_topk.json
7,0.13,0.09,0.1,94,svc_rbf_report_result_optical_topk.json
8,0.28,0.18,0.22,99,svc_rbf_report_result_optical_topk.json
9,0.98,1.0,0.99,105,svc_rbf_report_result_optical_topk.json
10,0.13,0.85,0.22,121,svc_rbf_report_result_optical_topk.json
11,0.22,0.1,0.14,99,svc_rbf_report_result_optical_topk.json
12,0.32,0.22,0.26,94,svc_rbf_report_result_optical_topk.json
13,0.81,0.31,0.45,97,svc_rbf_report_result_optical_topk.json
14,0.22,0.08,0.12,102,svc_rbf_report_result_optical_topk.json
15,0.28,0.12,0.17,91,svc_rbf_report_result_optical_topk.json
16,0.28,0.15,0.2,110,svc_rbf_report_result_optical_topk.json
accuracy,1700.0,0.0,0.0,1700,svc_rbf_report_result_optical_topk.json
