t,vLoca,vLocb,vLocc
0,22902.849609375,611242.4375,-632371.625
9.99999997475243e-07,22629.884765625,611385.6875,-632242.0625
1.99999999495049e-06,22356.927734375,611528.75,-632112.3125
3.00000010611257e-06,22083.96875,611671.75,-631982.5625
3.99999998990097e-06,21811.005859375,611814.6875,-631852.6875
4.99999987368938e-06,21538.03515625,611957.5625,-631722.6875
6.00000021222513e-06,21265.060546875,612100.3125,-631592.625
7.00000009601354e-06,20992.080078125,612242.9375,-631462.5
7.99999997980194e-06,20719.09765625,612385.5625,-631332.25
9.0000003183377e-06,20446.109375,612528,-631201.9375
9.99999974737875e-06,20173.119140625,612670.4375,-631071.5
1.10000000859145e-05,19900.125,612812.75,-630941
1.20000004244503e-05,19627.12890625,612955,-630810.375
1.29999998534913e-05,19354.130859375,613097.125,-630679.6875
1.40000001920271e-05,19081.12890625,613239.1875,-630548.875
1.49999996210681e-05,18808.123046875,613381.125,-630418
1.59999999596039e-05,18535.115234375,613523.0625,-630287.0625
1.70000002981396e-05,18262.10546875,613664.8125,-630156
1.80000006366754e-05,17989.091796875,613806.5625,-630024.875
1.89999991562217e-05,17716.078125,613948.125,-629893.625
1.99999994947575e-05,17443.060546875,614089.6875,-629762.3125
2.09999998332933e-05,17170.0390625,614231.125,-629630.9375
2.2000000171829e-05,16897.017578125,614372.5,-629499.4375
2.30000005103648e-05,16623.9921875,614513.75,-629367.8125
2.40000008489005e-05,16350.96484375,614654.9375,-629236.125
2.49999993684469e-05,16077.935546875,614796.0625,-629104.375
2.59999997069826e-05,15804.9033203125,614937.0625,-628972.5
2.70000000455184e-05,15531.869140625,615078,-628840.5625
2.80000003840541e-05,15258.8330078125,615218.8125,-628708.5625
2.90000007225899e-05,14985.794921875,615359.5625,-628576.4375
2.99999992421363e-05,14712.7548828125,615500.1875,-628444.1875
3.0999999580672e-05,14439.7119140625,615640.8125,-628311.875
3.19999999192078e-05,14166.66796875,615781.25,-628179.5
3.30000002577435e-05,13893.62109375,615921.6875,-628047
3.40000005962793e-05,13620.572265625,616062,-627914.4375
3.5000000934815e-05,13347.5224609375,616202.1875,-627781.8125
3.60000012733508e-05,13074.4697265625,616342.3125,-627649.0625
3.70000016118865e-05,12801.416015625,616482.375,-627516.1875
3.79999983124435e-05,12528.3603515625,616622.3125,-627383.25
3.89999986509793e-05,12255.302734375,616762.1875,-627250.25
3.9999998989515e-05,11982.2431640625,616902,-627117.125
4.09999993280508e-05,11709.1826171875,617041.6875,-626983.9375
4.19999996665865e-05,11436.119140625,617181.3125,-626850.6875
4.30000000051223e-05,11163.0556640625,617320.8125,-626717.3125
4.4000000343658e-05,10889.9892578125,617460.25,-626583.8125
4.50000006821938e-05,10616.921875,617599.625,-626450.3125
4.60000010207295e-05,10343.853515625,617738.875,-626316.625
4.70000013592653e-05,10070.783203125,617878,-626182.9375
4.80000016978011e-05,9797.7109375,618017.125,-626049.125
4.8999998398358e-05,9524.6376953125,618156.125,-625915.1875
4.99999987368938e-05,9251.5634765625,618295,-625781.1875
5.09999990754295e-05,8978.48828125,618433.8125,-625647.125
5.19999994139653e-05,8705.4111328125,618572.5625,-625512.9375
5.2999999752501e-05,8432.3330078125,618711.1875,-625378.6875
