Class,Precision,Recall,F1-score,Support,source_file
0,0.75,0.99,0.86,99,mlp_report_result_optical_pca.json
1,0.21,0.15,0.18,104,mlp_report_result_optical_pca.json
2,0.35,0.38,0.36,112,mlp_report_result_optical_pca.json
3,0.72,0.67,0.7,86,mlp_report_result_optical_pca.json
4,0.34,0.48,0.4,88,mlp_report_result_optical_pca.json
5,0.51,0.47,0.49,98,mlp_report_result_optical_pca.json
6,0.92,0.97,0.95,101,mlp_report_result_optical_pca.json
7,0.48,0.67,0.56,94,mlp_report_result_optical_pca.json
8,0.38,0.21,0.27,99,mlp_report_result_optical_pca.json
9,0.98,1.0,0.99,105,mlp_report_result_optical_pca.json
10,0.95,0.94,0.95,121,mlp_report_result_optical_pca.json
11,0.34,0.25,0.29,99,mlp_report_result_optical_pca.json
12,0.27,0.21,0.24,94,mlp_report_result_optical_pca.json
13,0.94,1.0,0.97,97,mlp_report_result_optical_pca.json
14,0.25,0.29,0.27,102,mlp_report_result_optical_pca.json
15,0.17,0.09,0.12,91,mlp_report_result_optical_pca.json
16,0.55,0.69,0.62,110,mlp_report_result_optical_pca.json
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_optical_pca.json
0,0.75,0.99,0.86,99,mlp_report_result_optical_energy.json
1,0.21,0.15,0.18,104,mlp_report_result_optical_energy.json
2,0.35,0.38,0.36,112,mlp_report_result_optical_energy.json
3,0.72,0.67,0.7,86,mlp_report_result_optical_energy.json
4,0.34,0.48,0.4,88,mlp_report_result_optical_energy.json
5,0.51,0.47,0.49,98,mlp_report_result_optical_energy.json
6,0.92,0.97,0.95,101,mlp_report_result_optical_energy.json
7,0.48,0.67,0.56,94,mlp_report_result_optical_energy.json
8,0.38,0.21,0.27,99,mlp_report_result_optical_energy.json
9,0.98,1.0,0.99,105,mlp_report_result_optical_energy.json
10,0.95,0.94,0.95,121,mlp_report_result_optical_energy.json
11,0.34,0.25,0.29,99,mlp_report_result_optical_energy.json
12,0.27,0.21,0.24,94,mlp_report_result_optical_energy.json
13,0.94,1.0,0.97,97,mlp_report_result_optical_energy.json
14,0.25,0.29,0.27,102,mlp_report_result_optical_energy.json
15,0.17,0.09,0.12,91,mlp_report_result_optical_energy.json
16,0.55,0.69,0.62,110,mlp_report_result_optical_energy.json
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_optical_energy.json
0,0.75,0.99,0.86,99,mlp_report_result_optical_pure_alpha.json
1,0.21,0.15,0.18,104,mlp_report_result_optical_pure_alpha.json
2,0.35,0.38,0.36,112,mlp_report_result_optical_pure_alpha.json
3,0.72,0.67,0.7,86,mlp_report_result_optical_pure_alpha.json
4,0.34,0.48,0.4,88,mlp_report_result_optical_pure_alpha.json
5,0.51,0.47,0.49,98,mlp_report_result_optical_pure_alpha.json
6,0.92,0.97,0.95,101,mlp_report_result_optical_pure_alpha.json
7,0.48,0.67,0.56,94,mlp_report_result_optical_pure_alpha.json
8,0.38,0.21,0.27,99,mlp_report_result_optical_pure_alpha.json
9,0.98,1.0,0.99,105,mlp_report_result_optical_pure_alpha.json
10,0.95,0.94,0.95,121,mlp_report_result_optical_pure_alpha.json
11,0.34,0.25,0.29,99,mlp_report_result_optical_pure_alpha.json
12,0.27,0.21,0.24,94,mlp_report_result_optical_pure_alpha.json
13,0.94,1.0,0.97,97,mlp_report_result_optical_pure_alpha.json
14,0.25,0.29,0.27,102,mlp_report_result_optical_pure_alpha.json
15,0.17,0.09,0.12,91,mlp_report_result_optical_pure_alpha.json
16,0.55,0.69,0.62,110,mlp_report_result_optical_pure_alpha.json
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_optical_pure_alpha.json
0,0.75,0.99,0.86,99,mlp_report_result_optical_original_data.json
1,0.21,0.15,0.18,104,mlp_report_result_optical_original_data.json
2,0.35,0.38,0.36,112,mlp_report_result_optical_original_data.json
3,0.72,0.67,0.7,86,mlp_report_result_optical_original_data.json
4,0.34,0.48,0.4,88,mlp_report_result_optical_original_data.json
5,0.51,0.47,0.49,98,mlp_report_result_optical_original_data.json
6,0.92,0.97,0.95,101,mlp_report_result_optical_original_data.json
7,0.48,0.67,0.56,94,mlp_report_result_optical_original_data.json
8,0.38,0.21,0.27,99,mlp_report_result_optical_original_data.json
9,0.98,1.0,0.99,105,mlp_report_result_optical_original_data.json
10,0.95,0.94,0.95,121,mlp_report_result_optical_original_data.json
11,0.34,0.25,0.29,99,mlp_report_result_optical_original_data.json
12,0.27,0.21,0.24,94,mlp_report_result_optical_original_data.json
13,0.94,1.0,0.97,97,mlp_report_result_optical_original_data.json
14,0.25,0.29,0.27,102,mlp_report_result_optical_original_data.json
15,0.17,0.09,0.12,91,mlp_report_result_optical_original_data.json
16,0.55,0.69,0.62,110,mlp_report_result_optical_original_data.json
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_optical_original_data.json
0,0.75,0.99,0.86,99,mlp_report_result_optical_random_mesurements.json
1,0.21,0.15,0.18,104,mlp_report_result_optical_random_mesurements.json
2,0.35,0.38,0.36,112,mlp_report_result_optical_random_mesurements.json
3,0.72,0.67,0.7,86,mlp_report_result_optical_random_mesurements.json
4,0.34,0.48,0.4,88,mlp_report_result_optical_random_mesurements.json
5,0.51,0.47,0.49,98,mlp_report_result_optical_random_mesurements.json
6,0.92,0.97,0.95,101,mlp_report_result_optical_random_mesurements.json
7,0.48,0.67,0.56,94,mlp_report_result_optical_random_mesurements.json
8,0.38,0.21,0.27,99,mlp_report_result_optical_random_mesurements.json
9,0.98,1.0,0.99,105,mlp_report_result_optical_random_mesurements.json
10,0.95,0.94,0.95,121,mlp_report_result_optical_random_mesurements.json
11,0.34,0.25,0.29,99,mlp_report_result_optical_random_mesurements.json
12,0.27,0.21,0.24,94,mlp_report_result_optical_random_mesurements.json
13,0.94,1.0,0.97,97,mlp_report_result_optical_random_mesurements.json
14,0.25,0.29,0.27,102,mlp_report_result_optical_random_mesurements.json
15,0.17,0.09,0.12,91,mlp_report_result_optical_random_mesurements.json
16,0.55,0.69,0.62,110,mlp_report_result_optical_random_mesurements.json
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_optical_random_mesurements.json
0,0.75,0.99,0.86,99,mlp_report_result_optical_topk.json
1,0.21,0.15,0.18,104,mlp_report_result_optical_topk.json
2,0.35,0.38,0.36,112,mlp_report_result_optical_topk.json
3,0.72,0.67,0.7,86,mlp_report_result_optical_topk.json
4,0.34,0.48,0.4,88,mlp_report_result_optical_topk.json
5,0.51,0.47,0.49,98,mlp_report_result_optical_topk.json
6,0.92,0.97,0.95,101,mlp_report_result_optical_topk.json
7,0.48,0.67,0.56,94,mlp_report_result_optical_topk.json
8,0.38,0.21,0.27,99,mlp_report_result_optical_topk.json
9,0.98,1.0,0.99,105,mlp_report_result_optical_topk.json
10,0.95,0.94,0.95,121,mlp_report_result_optical_topk.json
11,0.34,0.25,0.29,99,mlp_report_result_optical_topk.json
12,0.27,0.21,0.24,94,mlp_report_result_optical_topk.json
13,0.94,1.0,0.97,97,mlp_report_result_optical_topk.json
14,0.25,0.29,0.27,102,mlp_report_result_optical_topk.json
15,0.17,0.09,0.12,91,mlp_report_result_optical_topk.json
16,0.55,0.69,0.62,110,mlp_report_result_optical_topk.json
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_optical_topk.json
